Requirement Date,State.,Masks Required?,Type of Requirement,Requirement Date,index
2020-05-29,VA,Entire State,All Public Indoor Spaces (Including Public Transport & Biz's),2020-05-29,19
2020-06-18,CA,Entire State,Everywhere in public where social distancing isn't possible,2020-06-18,18
2020-06-25,NV,Entire State,Everywhere in public where social distancing isn't possible,2020-06-25,17
2020-06-26,NC,Entire State,Everywhere in public where social distancing isn't possible,2020-06-26,16
2020-06-26,WA,Entire State,Everywhere in public where social distancing isn't possible,2020-06-26,15
2020-07-01,OR,Entire State,Everywhere in public where social distancing isn't possible,2020-07-01,14
2020-07-03,TX,Entire State,Everywhere in public where social distancing isn't possible (in counties with >20 cases),2020-07-03,13
2020-07-07,WV,Entire State,All Public Indoor Spaces (where social distancing isn't possible),2020-07-07,12
2020-07-10,KY,Entire State,Everywhere in public where social distancing isn't possible,2020-07-10,11
2020-07-13,LA,Entire State,Everywhere in public where social distancing isn't possible,2020-07-13,10
2020-07-15,MT,Entire State,All Public Indoor Spaces (In Counties With >4 Cases),2020-07-15,9
2020-07-16,AL,Entire State,Everywhere in public where social distancing isn't possible,2020-07-16,8
2020-07-17,CO,Entire State,All Public Indoor Spaces (Including Public Transport & Biz's),2020-07-17,7
2020-07-20,AR,Entire State,Everywhere in public where social distancing isn't possible,2020-07-20,6
2020-07-23,OH,Entire State,Everywhere in public where social distancing isn't possible,2020-07-23,5
2020-07-25,MN,Entire State,Most Public Indoor Spaces (Including Public Transport & Biz's),2020-07-25,4
2020-07-27,IN,Entire State,Everywhere in public where social distancing isn't possible,2020-07-27,3
2020-08-01,WI,Entire State,All Public Indoor Spaces (Including Public Transport & Biz's),2020-08-01,2
2020-08-01,VT,Entire State,Everywhere in public where social distancing isn't possible,2020-08-01,1
